"Agriculture, value added (% of GDP)",exp
Albania,32.42747054
Algeria,30.83040547
Angola,62.41310575
Antigua and Barbuda,45.40234206
Argentina,21.70646878
Armenia,20.5836109
Australia,20
Austria,54
Azerbaijan,53.97001481
Bahamas,41.47398015
Bangladesh,18.40616841
Belarus,54.27591
Belgium,80
Bolivia,41.18745607
Bosnia and Herzegovina,35.776497
Botswana,32.9870884
Brazil,10.87158512
Brunei,81.43877501
Bulgaria,57.41038773
Burundi,6.134763092
Cambodia,54.08278279
Cape Verde,38.56699686
Chile,38
China,31
Colombia,15.92045565
"Congo, Rep.",85.11967127
Costa Rica,38.05935703
Cote d'Ivoire,40.64433533
Croatia,39.35816934
Cuba,19.61354547
Denmark,50
Dominica,35.98305974
Dominican Republic,23.03181871
Ecuador,32.94940629
Egypt,21.34924581
El Salvador,25.91294527
Ethiopia,13.62317561
Fiji,53.8672429
Finland,40
Gabon,60.28578402
Gambia,23.49083636
Georgia,34.95113266
Germany,47
Ghana,29.4046672
Grenada,21.45018619
Guatemala,25.8013889
Guinea,28.35010641
Honduras,43.87117217
Hungary,86.54505579
India,22.77125773
Indonesia,25
Italy,27
Japan,15
Jordan,47.788566
Kazakhstan,43.957264
Kenya,27.79946072
South Korea,52.27831091
Kyrgyz Republic,51.55432268
Lao,35.54263191
Latvia,53.81151835
Lebanon,22.17457339
Lesotho,43.80931136
Lithuania,68.5767761
Luxembourg,172.3667164
"Macedonia, FYR",47.58049371
Malaysia,93.74591211
Maldives,96.71886292
Malta,88.1840453
Mauritania,62.01006203
Mauritius,52.52589337
Mexico,30.30954705
Moldova,39.22521538
Mongolia,54.69989518
Montenegro,34.7113831
Morocco,33.000437
Mozambique,26.28441961
Namibia,42.55333264
Nepal,9.575271074
Netherlands,78
Nicaragua,36.9713471
Norway,41
Pakistan,13.57410503
Panama,76.95396439
Papua New Guinea,55.85211637
Paraguay,51.59945899
Peru,25.49829658
Philippines,34.80329295
Poland,42.24585833
Portugal,31
Puerto Rico,77.91259759
Romania,23.48656844
Russia,29.95013716
Rwanda,10.04622995
St. Kitts and Nevis,30
St. Lucia,52
St. Vincent and the Grenadines,27
Samoa,32.03771888
Saudi Arabia,58.08857892
Senegal,24.78577547
Serbia,34.892266
Sierra Leone,17.1000845
Singapore,207.1705359
Slovak Republic,81.24743492
Slovenia,65.42470211
South Africa,27.34319168
Spain,27.18225007
Sri Lanka,22
Sudan,20.00018925
Swaziland,54.81112832
Sweden,49.48112841
Switzerland,52
Tajikistan,15.20377414
Tanzania,27.83319281
Thailand,71.28576548
Togo,39.9164717
Tonga,13.19624758
Uganda,23.76339156
Ukraine,50.74641893
United Arab Emirates,77.9368849
United Kingdom,30.5396473
United States,13
Uruguay,27